Escuela,Cant. Reservas,Años,Cant. Años,Último Año,Contacto (último),Teléfono (último),Email,Niveles,Total Chicos,Sección,Otros Contactos,Otros Teléfonos
WASHINGTON,15,"2017, 2018, 2019, 2022, 2023",5,2.023,LUCIA,1158622263,,"6, J, 5, 800",559,Teatro,PAOLA | MAGALI | MIRANDA,1158622363 | 4778 3855 | 4772 8131
LOMAS DE NUÑEZ,14,"2017, 2018, 2019, 2024",4,2.024,FERNANDA,1169690127,,"J, 4, 2, 1",506,Teatro,GABRIELA | ALEJANDRA VICE | MARISA,4703 1168 | 4703 1168  1561359057 | 4703 1168  1535637926
PERPETUO SOCORRO,14,"2017, 2018, 2019, 2023, 2024, 2025",6,2.025,SILVINA,1155260073,,"J, 2, 1, 1Y2",766,Teatro,BELEN | ROMINA | SILVIA MORANDI,115134640 | 1161052509 | 4567 1175
SAINT EXUPERY $90.000.,13,"2017, 2018, 2019, 2022, 2024, 2025",6,2.025,JEREMÍAS,1165011278,,"J, 4, 3",364,Teatro,CAROLINA | LORELEY | lereley,1135662205 | 4433 2769 | 15356 62205
GIRASOLES,12,"2017, 2018, 2019, 2022, 2024",5,2.024,ARIEL - MELI - DANI- ALV,1134995929,girasolesescuelaactiva@gmail.com,"4 6, J1, J2, 467, J, 12, 23, J  1, J 3G, 1",811,"Teatro, Viajera",GABRIELA REY | GABRIELA| | GABRIELA VICE,1151324799 | 4648 1285 | 15313 24799
MARIA REINA,12,"2017, 2018",2,2.018,ALEJANDRA,155958 2967,,"5, 3, 1, 6, 56, 4",526,Teatro,CLAUDIA | CAROLINA | CAROLINA45191703,4924 3119 | 154914 7580 | 154914 6580
NTA SRA ROSARIO,12,"2017, 2018, 2019, 2022, 2024, 2025",6,2.025,ANABELA,1135794080,secretariainicial@insr.edu.ar,"J, 1, 5, 3",322,"Teatro, Viajera",VERONICA | SILVIA VANESA INT 44 | CARLOS,1136397339 | 4784 6788 | 4784 6788  15363 97339
14 DIST 16,11,"2019, 2022, 2023, 2025",4,2.025,PATRICIA,1150493686,,"13, 4, 123, 1, 3, 5Y7",439,Teatro,CINTIA | MARIELA | MNONICA,1136024593 | 1165962601 | 1532154486
2 DIST 17,11,"2017, 2018, 2019, 2022",4,2.022,BEATRIZ,1165364924,,"12, 567, 34, 47, 21, 123",493,Teatro,GRACIELA | GRACIELA VICE | VANINA,4501 2716 | 4501 2716   156705 0544 | 4501 2716  1559782592
4 dist 16,11,"2017, 2018, 2019, 2022",4,2.022,PAULA,150088013,,"5, 1, 3, 2",1.161,Teatro,VIVIANA | ANA | VIVIANA 1168671961,1150088013 | 1159604912 | 156364 1932
19 DIST 10,10,"2017, 2019, 2022, 2023",4,2.023,GLADIS 1565614674,1156381597 MONICA,,"123, 4",357,Teatro,JORGE | MARTA | MARTA GLADYS,15226 50503 | 4543 5920 | 4543 5920  1553268779
CAMINITO,10,"2019, 2022, 2025",3,2.025,133,7,,"5, 1, 2, 7, 6, 3",778,Teatro,36 | 65 | 75,2 | 36 | 52
CARLOS STEEB,10,"2018, 2019",2,2.019,SILVINA,4582 9838  15512677 32,,3,356,Teatro,,5682 9838   155126 7732 | 5682 9838     155126 7732
ESC DEL PARQUE $90.000,10,"2018, 2019, 2022, 2023, 2024, 2025",6,2.025,DANI,1133821106,,"J, J1°, 1, 123, 5, 2",541,Teatro,FLORENCIA | DANIEL | DANI  5 ENTRADAS,1156047776 | 4958 6100     1555 964095 | 4958 6100 155596 4095
MODELO SARMIENTO,10,"2019, 2023",2,2.023,LUPE,1557622487,,"12, J, 5, 4",386,Teatro,,4683 1620  155762 2487 | 4683 1620   1557622 487 | 46831620  155762 2487
VELEZ SARSFIELD $90.000,10,"2017, 2018, 2019, 2022, 2025",5,2.025,CECILIA,1160297814,,"3, 2, 1, 4",676,Teatro,ROMINA | GISELLE | CECILIA  2 X 1,5263 2620 | 5263 2620  1560297814 | 4644 4570  1565890079
10 DIST 17,9,"2017, 2018, 2019",3,2.019,GABRIELA,4501 7636  1163612987,,"45, 1, 47, 12, 67",295,Teatro,PATRICIA | LAURA | MARIA LAURA,4501 7636 | 4501 7636  115820 8382 | 4501 7636  1558208382
12 DIST 15,9,"2017, 2019, 2022, 2024",4,2.024,VALERIA,1151174498,,"2, 4, 45, 12, 3, 1",530,Teatro,MARTA | MATTA | VALERIA 4541 3434,15601 98710 | 15 511 74498 | 156019 8710
15 DIST 10  $90.000,9,"2018, 2019, 2025",3,2.025,MIQUI,1131913473,,"1, 2, 3",405,Teatro,JOHANA | GISELA | MARIEL,1138989923 | 1139584295 | 1149480565
3 DIST 16,9,"2017, 2018, 2019, 2023",4,2.023,MONICA,1155236151,,"5, 2, 1, 3",417,Teatro,GISEL | ADRIANA | LAURA ANALIA,156052 4421 | 4571 1108 | 4571 1108  155826 0895
GASCON $90000,9,"2017, 2018, 2019, 2023, 2025",5,2.025,NATALIA,1169804256,,"12, 4, 45, 4Y5",253,Teatro,GRACIELA,1155260073 | 4772 7087 | 4772 7087 156980 4256
16 dist 18,8,"2017, 2019",2,2.019,ADRIANA,4641 0486  1557461154,,"56, 1, 4, 2, 5",239,Teatro,SUSANA,4641 0486
23 DIST 17,8,"2017, 2018, 2019",3,2.019,NATALIA,4501 8689  152651 3259,,"2, 1, 3",325,Teatro,ALEJANDRA | MARIA | MARIA ALEJANDRA,4501 8669 | 4501 8689 | 155967 2331
6 DIST 12,8,"2017, 2018, 2022",3,2.022,JORGELINA,1559924268,,"45, 34, 14, 123",320,Teatro,MARGARITA,4581 8527 | 4581 8527  15567 24233 | 4581 8527  155672 4233
9 DIST 10,8,"2017, 2018, 2019",3,2.019,MARISA,4701 3400  156556 3560,,"123, 2, 4, 3, 5",349,Teatro,ANA CUGINI | MARIA | SEBASTIAN,4701 3400 | 116035 5692 | 1562 2809606
DEL LIBERTADOR,8,"2018, 2019, 2022",3,2.022,CLAUDIA AGENCIA,1150016497,,"2, 1, 8, 3, J",508,Teatro,CLAUDIA | CLAUDIA 115016497,115016497 | 4924 3119        15563888930 | 4924 3119    15563 88930
MARIANISTA,8,"2017, 2022, 2023",3,2.023,ELIANA VICE,1138186267,,"j, J, 5, 1",680,Teatro,FLORENCIA | FLORENCIA 126 | ELIANA,4988 0774
NUMEN,8,"2017, 2018, 2019",3,2.019,CECILIA MARTINO,4632 0545  1540351716,,"1, 3, 2",242,Teatro,CAROLINA | CECILIA,4632N0545 | 4632 0545 | 4632 0545  154035 1716
SWoRN,8,"2017, 2018, 2019, 2024, 2025",5,2.025,FLOR,1121588176,,"J, 4, 2, 3, 2Y3",361,Teatro,ANA | HERNAN | INES,1168655005 | 4552 2498 | 4552 2498  154530 7042
12 DIST 16,7,"2018, 2019",2,2.019,YANINA,4572 8226  153638 6384,,"J, 2, 45, 25, 1",206,Teatro,MARCELA | MONICA | VIVIANA,4571 9381  15327256 92 | 4574 4754  153622 5647 | 4572 8226  153427 0911
20 DIST 7,7,"2017, 2018, 2019",3,2.019,FLAVIA,4902 1431  15659121 30,,"45, 4 5, 75, 2, 123, 4",300,Teatro,MARTA | LILIANA | MARIELA,4902 1431 | 4902 1431    1132417080 | 4902 1431 156798 2525
24 DIST 17,7,"2017, 2018, 2019",3,2.019,CAMILA,4567 8257  156475863,,"12, J, 5, 2, 4",248,Teatro,CECILIA MART | 4501 7100 MARIA MARTA | EDUARDO,4567 8257 | 4567 8257  155497 1247 | 4567 8257   153763 7353
ABC,7,"2017, 2019, 2022",3,2.022,CECILIA,1541790666 LOLI,,J,318,Teatro,DOLORES | VICTORIA,4544 5761 | 4544 5761  1141834474 | 4544 4761  1141834474
BEATA IMELDA,7,"2018, 2019",2,2.019,MARIA LAURA,4522 7643  155523 3578,,"2, J",267,Teatro,MARINA | GEORGINA | LAURA,4521 8764 15506 10533 | 155973 9214 | 4522 7643  155523 3576
CUMELEN,7,"2017, 2018",2,2.018,OLGA,1130930142,,"J, 1, 5, 3, 2",216,Teatro,ANDREA | OLGA QUIROGA,0220 4864 882 | 0220 4864882 155337 0301 | 0220 4864882 1130930142
EMPANADAS,7,2017,1,2.017,16,246,,,1.291,Teatro,9 | 15 | 55,56 | 95 | 215
HERNANDEZ,7,2017,1,2.017,CRISTINA,4768 0251,,"6, 5",280,Teatro,,
LINCOLN $90.000,7,"2017, 2018, 2025",3,2.025,LULI,1165953680,,J,284,Teatro,LAURA | DEL SOLAR,4772 1337 | 772 1337 | 21323945    1552226 2331
MISERICORDIA,7,"2017, 2018, 2019, 2025",4,2.025,1157329766,VIVI,,"J, 3, 4, j",322,Teatro,MARIANA | MARCELA | florencia,4632 0026 | 4805 5478 | 4805 5478  156292 4480
NTRA SRA ROSARIO  $90.000,7,"2019, 2022, 2023, 2025",4,2.025,VERONICA,1136397339,,"J, 1, 5",214,Teatro,1165152163 | SUSANA,116510099 | 4784 6788 15363 97339 | 4784 6788  15363 97339
NUEVOS AIRES,7,"2017, 2018, 2019",3,2.019,SILVIA,4567 8970  156588 0716,,"2, 3, J, 123",297,Teatro,SILVINA | DANIELA | ROXANA,4567 8970 | 4545 4602 | 4567 8970  155821 4727
OAK HILL,7,"2018, 2022, 2023, 2024, 2025",5,2.025,MARIA,1158979858,,"2, 45, J",245,Teatro,CELESTE OUTON | MARIA PRAT GAY,4703 4304 | 47034304  1158979858 | 48127699  1158979858
SAGRADA FAMILIA,7,"2017, 2018, 2023",3,2.023,SILVINA,1155260073,,"1, 56, 4, 5, 3",497,Teatro,MARIA | FERNANDA | LEANDRA,4601 1105 | 0237 4626648 | 0237 4626648  1167015093
SAGRADO CORAZON,7,2017,1,2.017,LuCIA,15414 0960,,"1, J, 2",376,Teatro,CAROLINA | MARCELA,4519 1703 | 4983 0033
SAGRADO CORAZÓN,7,"2018, 2019",2,2.019,JENIFER,4766 7022  1570248382,,"J, 2",237,Teatro,ANTONELLA | LAURA X WASAP,4983 0033  153854 2899 | 4840 0084  1156183123
SAN PIO X,7,"2017, 2018, 2019",3,2.019,CINTIA ARIAS,153584 6919,,"2, 1, 3",336,Teatro,VALERIA/LEONOR | SOLANA,4683 0702 | 4683 0702 1539 318649 | 4683 0702  1539318649
24 DIST 14,6,"2017, 2018, 2019",3,2.019,LAURA,4581 5852  113597 8669,,"345, 45, 4, 34",269,Teatro,MARINA PASCUA | CARLA | MARIAN,4581 5852 | 4581 5852  156421 8289
25 DIST 18,6,"2017, 2018, 2019",3,2.019,DARIO,4641 2722  1531141423,,"4, 12, 123",236,Teatro,CARLA | GISEL | PERLA PANTAROTO,4641 2722 | 4641 2722  1531111043 | 4641 2722    1561204253
30 DIST 9,6,2019,1,2.019,ESTELA,4772 0922  15694438 62,,"3, 12, 2, 1",310,Teatro,,4772 0922  156944 3862 | 4772 0922 1569443862
6 Y 7 DIST 12,6,2019,1,2.019,ALEJANDRA,4581 8527  113348 9138,,"2, 1, 3",189,Teatro,,
7 DIST 9,6,"2018, 2019, 2022, 2023",4,2.023,TAMI,1168753222,,"12, 123, 3, J",319,Teatro,DORIS | MARA | CARMEN,1158032773 | 1562 288 663 | 4552 0172  1530703977
DEL PARQUE,6,"2017, 2018, 2019",3,2.019,CINTITA,4464 3188  1544112887,,"2, J",262,Teatro,PAOLA LOBRUTO | FLORENCIA | GISELA,15419 43842 | 4958 6100 | 4464 3188    1534767417
ESC DE LA PAZ,6,"2017, 2022, 2023, 2024",4,2.024,MARTÍN EPICO,1140239423,,"4, 5",220,Teatro,CECILIA WILLIMAS | MARIANELA,1133294510 | 1161124541 | 4904 3033
ESPIRITU SANTO  $360.000,6,"2017, 2019, 2025",3,2.025,ROXANA  AGENCIA,1149912109,,"J, 1, 2",516,Teatro,EVANGELINA | LAURA | PAULA,4671 7874 | 4581 4640 | 4671 7874  1564540915
GRAL BELGRANO,6,"2017, 2019, 2024",3,2.024,SANDRA,1153487817,,"J, 3",312,Teatro,KARINA | ROXANA KARINA,4624 2813 | 4624 1813 | 4624 2813  1131723101
HERMANOS MARISTA,6,2023,1,2.023,MARCELA,,,"J, 1 C",330,Teatro,,
J 6 HURLINGHAN,6,"2017, 2019",2,2.019,LUCIANA,4450 8828  1536061861,,J,206,Teatro,CAROLINA,4450 8828
JOSE HERNANDEZ,6,"2018, 2022, 2025",3,2.025,FER,1160101348,,"5, 4",329,Teatro,CRISTINA | VERONICA,1555293481 | 4768 0251  1556 186798
LASALLE FLORIDA,6,"2018, 2019, 2022",3,2.022,DIANA,1144090857,,J,224,Teatro,DIANA  INT 239,4971 4333  14409 0857
LIMERIK,6,"2017, 2018, 2019",3,2.019,SABRINA,4612 3833  156445 1192,,J,173,Teatro,LAURA | 4612 8337,4612 3833 | JULIETA | 4612 3833  1564451192
MASTER COLLEGE,6,"2017, 2018, 2019",3,2.019,PAULA,4576 0140  1568300 572,,"J, 12",261,Teatro,LUCIA | LOURDES | NATALIA,4576 0141 | 4576 0140 | 4576 0141 116350 1181
MILTON,6,"2017, 2018, 2022, 2023",4,2.023,MARIA JOSE,1159274645,,"1, 3",180,Teatro,NATALIA | TERESA,1130673634 | 4624 1160 | 4624 1160 1566577437
MISERICORDIA FLORES,6,"2019, 2023",2,2.023,ROXY,1157086224,,J,206,Teatro,MARIANO,4632 0026  1554016062
NTA SRA CARMEN,6,"2018, 2019, 2022",3,2.022,GRACIELA,4577 7658 1550237906,,"5, 1, 123, 4",262,Teatro,ADRIANA | MARE MENESES | Mmare,1550237906 | 4521 5322  11407 487125 | 4757 7658  1563008211
RAMOS MEJIA,6,"2018, 2019, 2022, 2025",4,2.025,LAU,1121668383,,"2, 1",173,Teatro,PATRICIA | ROXANA | SUSANA,1130974578 | 4654 8529 15504 35298 | 4654 8529  1159779825
SAN ANTONIO,6,"2017, 2018, 2019",3,2.019,ELIZABETH,4762 5021 1564506352,,"4, 1, 2",205,Teatro,CRISTINA | CRISTINA VERONICA | CRISTINA|,4762 5021 | 4762 5021  1550226732 | 4762 5021  156450 6352
SAN CAYETANO,6,"2018, 2019, 2022",3,2.022,LORE,1160139924,,"123, 45, 2, J, 4",337,Teatro,ADRIANA | ANDREA | CELINA,4781 0889  1567669356 | 4781 0889  156766 9356 | 4766 2195 / 15658663903
SAN JOSE FLORES,6,"2017, 2019",2,2.019,ANDREA,4612 -5958  156307 9352,,J,311,Teatro,,156307 9352
SAN RAMON NONATO,6,"2018, 2019, 2024",3,2.024,LORENA,1157198993,,"123, 12, 5 Y 4",352,Teatro,PAOLA,4567 8392  1525051933
STA M DE NAZARETH,6,2017,1,2.017,LORENA,4541 5253,,"3, 2, 1, 4, 5",360,Teatro,,
STA MARGARITA,6,"2017, 2019, 2022, 2024",4,2.024,SILVIA,1162188911,,"1, 3, 1 Y 2, 4",210,Teatro,ELIZABETH | LUJAN,4521 4942 | 1564 506352 | 4551 2000  1536 585651
SUSSINI  $90.000,6,"2017, 2023, 2025",3,2.025,FLOR,1162824597,,"J, 12, 56, 2, 5",320,Teatro,MARIA | MARIA DEL CARMEN | PRISCILA GIELLO,1161922731 | 1154 720087 | 4631 6954
1 DIST 16,5,"2018, 2022, 2023",3,2.023,ROSARIO,1169228982,,"23, 123, 1",232,Teatro,MONICA | ABRIANA B,1558692320 | 4501 8138  1565280808
10  dist 12,5,"2017, 2022",2,2.022,EMILIANO,isman@bue.edu.ar,,"3, 2, 12",191,Teatro,geraldina | MONICA | GERALDINA,4566 3743
12 DIST 10,5,"2017, 2018",2,2.018,PATRICIA,4544 4123  1165490289,,"2, 1",135,Teatro,,4544 4123 | 4544 4123  156549 0289
13 DIST 13,5,"2017, 2019",2,2.019,NANCY,4682 0185  155991 2664,,"12, 45, 4",229,Teatro,PATRICIA,4682 0185 | 4682 0145 | 4862 0185  1559912664
13 DIST 16,5,"2017, 2022",2,2.022,DANIELA,1168006983,,"123, 1, 12",197,Teatro,IVANA | ANDRES,4572 4992 | 4571 4992
14 dist 15,5,"2017, 2018, 2022",3,2.022,LORE,1133771432,,"J, 123, ESP||",230,Teatro,VIVIANA | MARTA,1523 285248 | 1523 28524 | 152328 5248
16 DIST 17,5,"2017, 2019, 2022",3,2.022,MARISA,1568588867,,2,224,Teatro,GABRIELA | MONICA,4568 4483 | 4568 4483  1567181221
18 DIST 18,5,"2017, 2019",2,2.019,VERONICA BIBLIOT,4567 5637  154673 9893,,"4, J, 123, 23, 5",211,Teatro,SANDRA | ANDREA | VANESA,4565 563| | 156250 9346 | 4567 5637
24 DIST 16,5,"2018, 2019, 2022",3,2.022,MARIANELA||,1536149512// 4517335,,"34, 123, 2, 12",167,Teatro,MARY | PATRICIA | MARIANO,1157801924 | 4571 7335   153622 0359 | 4571 7335  153448 0918
3 DIST 20,5,"2017, 2018, 2019",3,2.019,ROSA,4641 0275 1535901268,,"23, 56, 123, 4",319,Teatro,ROSA/ PATRICIA | GABRIELA | YAMILA,4641 0275 | 4641  0275 153590 1278
4 DIST 13,5,"2017, 2018, 2019",3,2.019,MIRTA,4682 1678  1133862934,,"5, 12, 4, 6",365,Teatro,MONICA NORMA | MARIANA | mirta,4682 1678 | 155725 7062 | 4682 1678  1533862934
9 DIST 17,5,"2017, 2018, 2019",3,2.019,LORENA,4566 5170  1126441493,,"45, 23, J, 123",191,Teatro,VIRGINIA | SILVIA | NATALIA,4566 5170 | 4501 7100  156536 6870
AMAPOLA,5,"2017, 2018, 2019",3,2.019,BIANCA,4831 3914  1531195637,,J,131,Teatro,DIANA | MARCELA AMATO,4831 3914 | 4548 4845  1531195637
BUENOS AIRES,5,"2018, 2019, 2022",3,2.022,AGUSTÍN,1151814932,,"3, 4, J1 C||",209,Teatro,"AGUSTIN | ,MIRTA DIRE",4855 8299   15518 14932 | 4854 3882  1531946739
EMAUS,5,2017,1,2.017,CAROLINA,1558 48545,,"2, 4",175,Teatro,,15585 48545 | 15585485 45
FELIX BURGOS,5,"2018, 2019",2,2.019,ROMIN,15441 02891,,5,206,Teatro,ADRIANA | ROMINA,15511 79061
FRENCH $180.000,5,"2017, 2018, 2019, 2022, 2025",5,2.025,SILV,1137868076,,"3, 4",267,Teatro,SILVANA | SILVANA WALTER | AGUSTINA,4248 2494 | 4248 2494 42024481 | 4248 2494  1537868076
J 930 V ZAPIOLA,5,2017,1,2.017,ANALIA,4769 4632,,J,155,Teatro,,
LA CANDELARIA,5,"2017, 2018",2,2.018,FILOMENA,4672 8890  156747 5555,,"5, 12",222,Teatro,MICAELA | NOELIA,4672 8890 | 4672 8890  11312871 05
LA PEQUEÑA ALDEA,5,2025,1,2.025,KARI - MONICA FLORES VICE,1143996381,,,,Viajera,VERONICA | FLOR | ADRIANA MARTINEZ,1124516014 | 1157230381 | 1162524310
MI PEQUEÑA CIUDAD,5,"2017, 2018, 2019",3,2.019,MIRIAM,5285 8072  155694 3337,,J,141,Teatro,JANINA | LAURA,4576 3416 | 155584 5770 | 116482 6056
NOLASCO,5,"2017, 2019, 2024",3,2.024,LORENA,1161291274,nolascosecretariaprimaria@gmail.com,J,149,"Teatro, Viajera",LAURA | ROSANA,4581 4640 | 4581 4640  1549912109
NORMAL 1,5,2019,1,2.019,BELEN,4812 5602  156560 5611,,"4, 2",372,Teatro,GASTON 4º,5142 6807
RIO DE LA PLATA,5,"2019, 2022",2,2.022,BERENICE,1155856464,,J,155,Teatro,,4823 1917 1555856464 | 4823 1917  1555856464
SAN ANDRES,5,"2017, 2018, 2019",3,2.019,JULIANA,472006 37   15303484 42,,1,198,Teatro,LAURA,15303 48442 | 15398 31498
SAN JOSE LINIERS,5,2017,1,2.017,ROMINA,4503 9248,,"1, 3",152,Teatro,LUCIANA,4641 0892
SAN PEDRO,5,"2018, 2023",2,2.023,MARIA PIA,1536121335,,"2, J",291,Teatro,MARTIN | LAURA,4566 0343  1540239423 | 1167882627 46391165
SAN RAMON,5,"2017, 2024",2,2.024,LORENA,1157198993,,"123, 45, 1",380,Teatro,VIVIANA,4567 8392
STA TERESITA,5,"2017, 2018",2,2.018,SANDRA AVERGINO,4513 6744  1530334715,,"1, 5",192,Teatro,NATALIA | LIS 113647669,4513 6744 | 4521 0422
TOMAS DEVOTO,5,"2017, 2019, 2022, 2024",4,2.024,ARA,112347873,,"5, 1, 3, 4",289,Teatro,VALERIA | MARIANA | GIMENA,1153778760 | 1166504199 | 4571 2019
13 DIST 19,4,"2017, 2018, 2022",3,2.022,GRACIELA FERREYRA,49189800,,"3, 4",222,Teatro,ADRIANA VICE | ADRIANA | BEATRIZ BIBLIO,4918 9800 | 4918  9800  15619 59158
14 DIST 10,4,"2017, 2018, 2019",3,2.019,ALEJANDRA GISELA,4542 9918  1540620098,,"4, 12",162,Teatro,ALEJANDRA | ANGELICA,4542 9918 | 114434 2816
14 DIST 9,4,"2017, 2018, 2019",3,2.019,SEBASTIAN,4772 9560  1562 809606,,"5, 2, 4",150,Teatro,AILEN | NATALIA CERESEDA | NATALIA,15504 78478 | 4772 9560  1523828090 | 4772 9650 1523828090
15 DIST 18,4,2017,1,2.017,4567 2485,GABRIELA,,"567, 4, 2",260,Teatro,ANDREA | GABRIELA,4567 2485 | 4567 4485
15 DIST 7,4,"2017, 2018",2,2.018,CECILIA,4982 9706          5 5695 99 998,,"J, 45, 1, 12",155,Teatro,GABRIELA | CECILIA PETRARCA | LOLA,4982 9706
16 DIST 7,4,"2017, 2018",2,2.018,CANDELA,4584 0390  114095 0979,,"5, 1",208,Teatro,NATALIA | NATALIA MAGALI,4584 0390 | 11409 50979
2 DIST 18,4,"2017, 2019, 2022",3,2.022,VERO,1151340762,,"4, 123, 2",193,Teatro,CARINA | EPICO MARTIN,4566 9158 | 4566 9158   1540239423
20 DIST 2,4,2018,1,2.018,NORA,4862 9561  155895 570,,"3, 12",302,Teatro,,
22 DIST 10,4,"2018, 2019",2,2.019,ALICIA,4784 5875  1538785107,,"4, 3, 6 Y7",252,Teatro,MONICA BIBL | MONICA | LUCIANO,1560 474809 | 4784 5875  1560474809 | 1551 139851
3 DIST 11,4,"2017, 2018, 2019",3,2.019,PAULA,4671 2095  1555 050822,,"4, 13, 12",211,Teatro,SUSANA 1568082196 | CAROLIN | OLGA,156808 2196 | 4671 2095 | 4671 2095  1168082196
3 DIST 8,4,"2017, 2018, 2019",3,2.019,carolinareising@gmail.com,4432 4515     1121778886,,"5, 123, 12",174,Teatro,VERONICA | SUSANA | SUSANA BIBLIO,4432 4515 | 4432 4515   116308 5202
5 DIST 9,4,"2018, 2019, 2022, 2024",4,2.024,BRUNO,1167115113,,"4, 1",177,Teatro,NATALIA | ROXANA AGENCIA,1132180110 | 4772 6455  156711 5113 | 4773 9799  1145590078
7 DIST 17,4,"2017, 2019",2,2.019,ROSARIO,116922 8982,,"2, 5, 4",176,Teatro,MARIA,1169228982 | 4581 6082
9 DIST 18,4,"2017, 2018, 2019",3,2.019,SILVIA,15687 33735,,"6, 2, 4",178,Teatro,MERCEDES GIORDANO | CARMEN,4566 2084 | 156873 3735 | 4566 2084  113199 2401
ALEMAN TEMPERLEY,4,2017,1,2.017,MARIA  OJO!!,4244 1163 INT 2,,"4, 90, 1",177,Teatro,MARIANO | NATALIA | MARA,4244 2832 | 154078 4561
AMANECER $45.000,4,"2017, 2025",2,2.025,VIVIANA,1133126815,,"123, j, 2",224,Teatro,GISELA 1553343131,4605 4797
ARBOLITO CABILDO,4,2023,1,2.023,SANDRA,1124571649,sandravillalba80@gmail.com,,,Viajera,SUSI TOMBETA,1126669504
ARGENTINA SCHOOL,4,"2019, 2025",2,2.025,LUCIANA,155643856,,J,103,Teatro,VICTORIA RUIZ | VICTORIA,1171300441 | 4552 0520 15317408025 | 4552 0520 1531 748025
BETANIA,4,"2017, 2018",2,2.018,ROXANA TRANSP,4581 4640 154991 2109,,"4, 1, 2",119,Teatro,LAURA,4581 4640
CABILDO ARBOLITO,4,2023,1,2.023,PATRICIA  VICE,151322823,institutoparroquialdelamerced@gmail.com,,,Viajera,ALEJANDRA DIRE,23015-4355360
CANGALLO,4,"2018, 2019",2,2.019,VIVIANA,4953 5527  1541691731,,"23, 3",150,Teatro,VANESA VIVIANA,
CHOCOLATE MONDONGO,4,2023,1,2.023,LORENA FERNANDO PEDRO,1132580169 P,nolascosecretariaprimaria@gmail.com,,,Viajera,PAOLA,1141985660
DA VINCI,4,"2017, 2018",2,2.018,MARIELA,1568200 341,,"SEC, 5",199,Teatro,LEONARDO | NORMA,4737 5313 | 4737 5313  1560526996
DEL ARCE $90000,4,"2019, 2023, 2025",3,2.025,ERIKA,1130595573,,"J, 45",173,Teatro,MARIEL,1123864216 | 4772 1902  156919 2501
DIVINA PROVIDENCIA,4,"2018, 2019",2,2.019,ANDREA,4702 8270  1557967508,,J,185,Teatro,,4702 8270  1169688 778
EL GATO CON BOTAS,4,"2017, 2019",2,2.019,MICAELA,4654 3989  156469 2676,,J,110,Teatro,SANDRA,4654 3989
EL LUCERO,4,"2017, 2022",2,2.022,CAROLINA,1163778272,,"4, 5, 3, ESP",57,Teatro,MARIELA,4898 9153
ESC DEL SOL,4,"2017, 2019",2,2.019,GABRIELA,4553 6009  1168870263,,"3, SEC, 2",188,Teatro,MARIAN JOSE | ROMINA,4553 6009 | 4299 1226 | 4553 6009 - 6532
EXELSIOR,4,"2017, 2018",2,2.018,VANESA,4632 2430  153425 8865,,"1, J",88,Teatro,MICAELA,4639 2430 | 4632 2430
FAIRY TALES,4,"2019, 2022, 2023",3,2.023,vicki ugarte,1166558050,,"J, j",97,Teatro,LAURA,1164816446 | 4873 7461  1564816446
